,ID,Text,Racial Justice,count,date
58914,1264911596989542400,"Global perspective, diverse offering, deep expertise. INTL FCStone Inc. can help food manufacturers manage their commodity price risk. #oatt #grains #InterestRates #dairy #food #coffee #soybean #wheat #corn https://t.co/5mukqUEBSh",False,1,2020-05-25
58913,1264935588475568133,"No olvide registrarse para la ponencia virtual “Panorama Internacional del Mercado del Algodón”, de Corteva, y que brindará Fernando López, Risk Management Consultant de INTL FCStone de México. Martes 26 de mayo, 1PM (Hora de Ciudad de México). https://t.co/f0fM2vOxdT https://t.co/keM51nXPmS",False,2,2020-05-25
58912,1264949345352220672,"Our Global #ForeignExchange team, @INTLFCStone_FX, provides expertise in trading and clearing in the full spectrum of OTC foreign exchange instruments, including spot, forwards, options, exotics, and structured products Learn more: https://t.co/yfuJl0mPD6 https://t.co/lAhexIyHv8",False,3,2020-05-25
58911,1264994646176018432,We provide customized #foreignexchange and treasury service to organizations in more than 175 countries. Our goal is to provide our clients with a single solution for their local #currency needs worldwide. #globalpayments https://t.co/CEuHX4E3tJ,False,4,2020-05-25
58910,1264997728536465414,RT @DecisiveFarming: Get access to @INTLFCStone advisors who will coach &amp; give you a comprehensive set of tools to track &amp; analyze your mar…,False,5,2020-05-25
58909,1265263954923847680,"Global perspective, diverse offering, deeper expertise. INTL FCStone can help the European food manufacturing industry hedge their risk, secure their margins, and grow. #dairy #grains #wheat #corn #soybeans #coffee 
https://t.co/ZFuqyVSrhZ",False,1,2020-05-26
58908,1265297892375494658,Get our revised estimates for the sugarcane harvest in Brazilian Center-South at the NY Week Webinar Conference: #COVID_19 – Impacts on #Sugar and #Energy Markets: What to Expect? on June 4 at 3pm (EST). https://t.co/ELtmt5pvgA,False,2,2020-05-26
58907,1265330607955103744,"Now is the time to take an active role in understanding your price risk in an effort to help navigate these uncertain times – learn how at the #Agricultural Outlook and Economic Opportunity Forum, July 16-17 in Kansas City. #oatt #grains https://t.co/q5I6rOOaSi",False,3,2020-05-26
58906,1265345770179477507,Hear from INTL FCStone Financial Inc.’s FCM Division as they discuss recent market events and the importance of risk management during the Nebraska Cattlemen Webinar Series on June 2 at 7 p.m. #oatt #cattle Register here: https://t.co/EpRBdZLBEn. https://t.co/qSEn7axuED,False,4,2020-05-26
58905,1265360843082010625,"Expert market commentary by Yousef Abbasi (@realNerdOnTheSt), Global Market Strategist for US Institutional Equities for INTL FCStone Financial Inc. is quoted by @business. #stockmarkets #coronavirus

https://t.co/MJJntl4dbQ https://t.co/yk3whj1VE8",False,5,2020-05-26
58904,1265392263972167685,"Are you looking to gain a more advanced understanding of market factors that influence price? INTL FCStone is offering the #Grain Risk Academy 201 in Bowling Green, Ohio, on July 29. #oatt  https://t.co/yo2UpAKbpi",False,6,2020-05-26
58903,1265414931186360321,"ICYMI: Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @politico.  #investing #stockmarket

https://t.co/amPX7ErPjv",False,7,2020-05-26
58902,1265441337454792704,"Con análisis sobre fundamentales y perspectivas para el futuro de los mercados agrícolas, nuestros expertos se unen en la Conferencia Global INTL FCStone - #Mercados #Agrícolas. 2 de junio de 2020, 1:00 pm (hora de Miami). Inscríbase hoy mismo. https://t.co/6NVMnT8gqB",False,1,2020-05-27
58901,1265626345205387268,"Our Securities team, offers a variety of services. Check out our Featured Insights page to see how we could help you! #equities #securities #algotrading #primebrokerage #outsourcedtrading #stocks https://t.co/CJpvvyvtCf",False,2,2020-05-27
58900,1265645563246247936,RT @INTLFCStone_FX: What's the difference between a traditional prime brokerage relationship and a true prime of prime relationship? This i…,False,3,2020-05-27
58899,1265660367293775872,"Expert #dairy market commentary by Nate Donnay, Director of Dairy Market Insight for INTL FCStone Financial Inc. – FCM Division is featured by @HoardsDairyman. @ifcsdairy @INTL_EUDairy 

https://t.co/K4fulViIAh",False,4,2020-05-27
58898,1265692995757543425,"Ouça nossos especialistas e obtenha análises atualizadas no evento online ""NY Week Sugar Webinar: COVID-19 – Impactos nos Mercados de #Açúcar e #Energia: Expectativas"" no dia 3 de junho às 16:00 (Brasília) – Inscreva-se agora! https://t.co/GzAzlxqXoA",False,5,2020-05-27
58897,1265721973268758529,"ICYMI: Expert market commentary by Yousef Abbasi (@realNerdOnTheSt), Global Market Strategist for US Institutional Equities for INTL FCStone Financial Inc. is quoted by @business. #stockmarkets #chinatradedeal

https://t.co/5VVHUpwhYs",False,6,2020-05-27
58896,1265734735223042050,RT @RuralRadioNet: The Wednesday Fontanelle Final Bell with Arlan Suderman of FC Stone https://t.co/CVhb33lnHe,False,7,2020-05-27
58895,1265735439337521155,RT @firefighter89: The Wednesday @FontanelleSeed #FinalBell with @ArlanFF101 of @INTLFCStone  https://t.co/Z2BCyj6JQm,False,8,2020-05-27
58894,1265755934707650561,"There is no need for you to compromise your carefully crafted #investment strategy to an “out of the box” #algorithmic trading solution.  If you are ready to explore how a customized solution can enable you to achieve your goals, contact @INTL_Securities https://t.co/b12sudMVzV https://t.co/ZyBNFwuVi5",False,9,2020-05-27
58893,1265782355471540226,"Expert market commentary from Rhona O'Connell (@REOC13), Head of Market Analysis, EMEA &amp; Asia for INTL FCStone Ltd., is quoted by @RT_com. #gold #preciousmetals

https://t.co/KzGFgypdmm",False,10,2020-05-27
58892,1265817605149003778,"Expert market commentary by Natalie Scott-Gray, Senior Analyst Market Analysis, EMEA &amp; Asia for INTL FCStone Ltd is quoted by @business. #copper #zinc #metals

 https://t.co/i6QQFTTyn2",False,1,2020-05-28
58891,1265988735117787136,"A global market requires a global partner with an international network of insights, resources, &amp; expertise. For the last 30 yrs, the #Metals Team at INTL FCStone Ltd has delivered on all of these. See how we can help you! #preciousmetals #basemetals
https://t.co/pFp8A9IrXh",False,2,2020-05-28
58890,1266023971075633152,We're #hiring! We have openings worldwide! Visit our #career page to find your next opportunity! #nowhiring #careers #newjob https://t.co/ZPYT5jPi9V,False,3,2020-05-28
58889,1266026997601521664,"RT @INTLFCStone_FX: A trading platform built specifically for active traders in forward markets, StoneX Professional delivers competitive,…",False,4,2020-05-28
58888,1266056641872564225,Learn about #grain contract decision making at the complimentary Grain Risk Academy 101 Virtual Seminar Series coming Thursday at 3pm all June! #oatt #grains https://t.co/daIGOR8Kdd,False,5,2020-05-28
58887,1266069251275792392,"Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @RI_News_Alert.  #investing #stockmarket

https://t.co/7Yd10xBPvS",False,6,2020-05-28
